T [s],p [Pa]
0,-0.0022083
8.33E-05,-0.0021496
0.00016667,-0.0020087
0.00025,-0.0016522
0.00033333,-0.0012622
0.00041667,-0.00094359
0.0005,-0.00075098
0.00058333,-0.00062178
0.00066667,-0.00043243
0.00075,-0.00033916
0.00083333,-0.00039918
0.00091667,-0.00034764
0.001,-0.00034776
0.0010833,-0.00063358
0.0011667,-0.00084982
0.00125,-0.00092243
0.0013333,-0.0011109
0.0014167,-0.001318
0.0015,-0.0015031
0.0015833,-0.001723
0.0016667,-0.0017914
0.00175,-0.0017035
0.0018333,-0.0016347
0.0019167,-0.0015911
0.002,-0.0014199
0.0020833,-0.001232
0.0021667,-0.0011407
0.00225,-0.00079324
0.0023333,-0.00048469
0.0024167,-0.0003844
0.0025,4.69E-05
0.0025833,0.00047433
0.0026667,0.00069093
0.00275,0.00080848
0.0028333,0.00061081
0.0029167,0.00038952
0.003,0.00036955
0.0030833,0.00034449
0.0031667,8.59E-05
0.00325,-0.00032057
0.0033333,-0.00071262
0.0034167,-0.0011852
0.0035,-0.0015209
0.0035833,-0.0016576
0.0036667,-0.0018178
0.00375,-0.0020078
0.0038333,-0.0022209
0.0039167,-0.0023338
0.004,-0.0023831
0.0040833,-0.0025061
0.0041667,-0.0025253
0.00425,-0.002286
0.0043333,-0.002051
0.0044167,-0.0019294
0.0045,-0.0016768
0.0045833,-0.0014434
0.0046667,-0.001272
0.00475,-0.0011595
0.0048333,-0.0011907
0.0049167,-0.0012109
0.005,-0.0013756
0.0050833,-0.0016414
0.0051667,-0.0018119
0.00525,-0.0018234
0.0053333,-0.0015979
0.0054167,-0.0013667
0.0055,-0.0012134
0.0055833,-0.00094468
0.0056667,-0.00056169
0.00575,-0.000243
0.0058333,-3.54E-05
0.0059167,1.64E-05
0.006,-0.00013415
0.0060833,-0.00034459
0.0061667,-0.00048988
0.00625,-0.00058812
0.0063333,-0.00073387
0.0064167,-0.00073932
0.0065,-0.00057446
0.0065833,-0.00052157
0.0066667,-0.00037042
0.00675,-2.96E-05
0.0068333,0.00015464
0.0069167,0.00018012
0.007,0.00021285
0.0070833,0.0002816
0.0071667,0.00035735
0.00725,0.00043266
0.0073333,0.00053941
0.0074167,0.0005653
0.0075,0.00053258
0.0075833,0.00054956
0.0076667,0.00047651
0.00775,0.00038085
0.0078333,0.00037071
0.0079167,0.00026818
0.008,0.0001018
0.0080833,5.36E-06
0.0081667,3.30E-05
0.00825,0.00016285
0.0083333,0.00020921
0.0084167,0.0001858
0.0085,0.0001746
0.0085833,0.0001633
0.0086667,0.00018143
0.00875,0.00025133
0.0088333,0.00033981
0.0089167,0.00036453
0.009,0.0005031
0.0090833,0.00051002
0.0091667,0.00026812
0.00925,0.00045637
0.0093333,0.00074264
0.0094167,0.00076236
0.0095,0.00085916
0.0095833,0.00091981
0.0096667,0.0011129
0.00975,0.001482
0.0098333,0.0016484
0.0099167,0.0015756
0.01,0.0016246
0.010083,0.002023
0.010167,0.0024008
0.01025,0.0026948
0.010333,0.0030099
0.010417,0.0032058
0.0105,0.0033668
0.010583,0.0033839
0.010667,0.0033651
0.01075,0.0035943
0.010833,0.003901
0.010917,0.0042253
0.011,0.0045203
0.011083,0.0048267
0.011167,0.0053155
0.01125,0.0056915
0.011333,0.0060346
0.011417,0.0064254
0.0115,0.0064546
0.011583,0.0065054
0.011667,0.0066851
0.01175,0.0066718
0.011833,0.0067389
0.011917,0.0067029
0.012,0.0064885
0.012083,0.0065507
0.012167,0.0066938
0.01225,0.0066343
0.012333,0.0066209
0.012417,0.0066084
0.0125,0.0064233
0.012583,0.0061473
0.012667,0.0058974
0.01275,0.0059815
0.012833,0.006243
0.012917,0.0064567
0.013,0.0067789
0.013083,0.0070331
0.013167,0.0070812
0.01325,0.0068919
0.013333,0.0066638
0.013417,0.00643
0.0135,0.0060714
0.013583,0.0059644
0.013667,0.0060034
0.01375,0.0058796
0.013833,0.0057053
0.013917,0.0055467
0.014,0.0052314
0.014083,0.0047897
0.014167,0.0045571
0.01425,0.0044223
0.014333,0.004398
0.014417,0.0044802
0.0145,0.004391
0.014583,0.0042559
0.014667,0.0040009
0.01475,0.0036915
0.014833,0.0034008
0.014917,0.0029468
0.015,0.0025745
0.015083,0.0022509
0.015167,0.0020341
0.01525,0.0019693
0.015333,0.0017394
0.015417,0.001545
0.0155,0.0014406
0.015583,0.0013743
0.015667,0.0014001
0.01575,0.0014732
0.015833,0.0014184
0.015917,0.0012193
0.016,0.0012653
0.016083,0.0012208
0.016167,0.00094217
0.01625,0.00074937
0.016333,0.00061661
0.016417,0.00064565
0.0165,0.00067353
0.016583,0.00054981
0.016667,0.00036168
0.01675,0.00024012
0.016833,0.00019412
0.016917,0.0001961
0.017,0.0002984
0.017083,0.00023845
0.017167,-2.06E-05
0.01725,-0.00026838
0.017333,-0.00031099
0.017417,-0.000172
0.0175,-0.00010506
0.017583,1.52E-05
0.017667,0.00014528
0.01775,0.00011575
0.017833,-4.92E-06
0.017917,-0.00019097
0.018,-0.00042179
0.018083,-0.00080677
0.018167,-0.0012792
0.01825,-0.0017231
0.018333,-0.0022562
0.018417,-0.0027003
0.0185,-0.0030226
0.018583,-0.0035916
0.018667,-0.0041358
0.01875,-0.0043589
0.018833,-0.0045481
0.018917,-0.0047565
0.019,-0.0050127
0.019083,-0.0053032
0.019167,-0.005428
0.01925,-0.0053908
0.019333,-0.0053263
0.019417,-0.005225
0.0195,-0.0050439
0.019583,-0.0050165
0.019667,-0.0051632
0.01975,-0.0051479
0.019833,-0.0049738
0.019917,-0.0048973
0.02,-0.0048619
0.020083,-0.004753
0.020167,-0.004762
0.02025,-0.0047486
0.020333,-0.0044069
0.020417,-0.004152
0.0205,-0.0042423
0.020583,-0.0043859
0.020667,-0.0044981
0.02075,-0.0045547
0.020833,-0.0045959
0.020917,-0.0045747
0.021,-0.004324
0.021083,-0.0039007
0.021167,-0.0034699
0.02125,-0.0033069
0.021333,-0.0032021
0.021417,-0.0028475
0.0215,-0.0025767
0.021583,-0.0024038
0.021667,-0.0021768
0.02175,-0.001881
0.021833,-0.0015692
0.021917,-0.0013824
0.022,-0.0010528
0.022083,-0.00068455
0.022167,-0.00052526
0.02225,-0.00045552
0.022333,-0.00063401
0.022417,-0.00088023
0.0225,-0.00096692
0.022583,-0.0011467
0.022667,-0.0013635
0.02275,-0.0013394
0.022833,-0.001131
0.022917,-0.00089035
0.023,-0.00059254
0.023083,-0.00040277
0.023167,-0.00022619
0.02325,-2.76E-06
0.023333,-7.26E-05
0.023417,-0.00019104
0.0235,-0.0002237
0.023583,-0.000197
0.023667,-5.50E-05
0.02375,-9.95E-05
0.023833,-0.00021018
0.023917,-0.00018034
0.024,-4.63E-05
0.024083,0.00012535
0.024167,0.00010934
0.02425,-9.72E-05
0.024333,-0.00027028
0.024417,-0.00016415
0.0245,9.80E-05
0.024583,0.00026174
0.024667,0.00040127
0.02475,0.00058244
0.024833,0.00077208
0.024917,0.00076754
0.025,0.00071886
0.025083,0.00081187
0.025167,0.00068096
0.02525,0.00045491
0.025333,0.00046603
0.025417,0.00053799
0.0255,0.00046742
0.025583,0.00023837
0.025667,-6.02E-05
0.02575,-0.00028946
0.025833,-0.0003915
0.025917,-0.00050171
0.026,-0.00053151
0.026083,-0.00038741
0.026167,-0.00030358
0.02625,-0.00019472
0.026333,6.72E-05
0.026417,0.00041871
0.0265,0.00092592
0.026583,0.0012766
0.026667,0.0012345
0.02675,0.0011938
0.026833,0.0012185
0.026917,0.0010824
0.027,0.00080391
0.027083,0.00053221
0.027167,0.00045747
0.02725,0.00053681
0.027333,0.00057565
0.027417,0.00044636
0.0275,0.00045381
0.027583,0.00067667
0.027667,0.00064031
0.02775,0.00049738
0.027833,0.00038591
0.027917,0.00028672
0.028,0.00028055
0.028083,0.00022849
0.028167,0.00026591
0.02825,0.00028947
0.028333,0.00026028
0.028417,0.0003176
0.0285,0.00046919
0.028583,0.00076229
0.028667,0.0010982
0.02875,0.0015404
0.028833,0.0018389
0.028917,0.001842
0.029,0.0018376
0.029083,0.001809
0.029167,0.0018346
0.02925,0.0019305
0.029333,0.0019997
0.029417,0.0021991
0.0295,0.0024882
0.029583,0.0028237
0.029667,0.0030976
0.02975,0.0031298
0.029833,0.0031831
0.029917,0.0030791
0.03,0.0027365
0.030083,0.0025391
0.030167,0.0022839
0.03025,0.0020591
0.030333,0.0020319
0.030417,0.0021048
0.0305,0.0022473
0.030583,0.0022171
0.030667,0.0020864
0.03075,0.002087
0.030833,0.0021689
0.030917,0.0020334
0.031,0.0017015
0.031083,0.0014119
0.031167,0.0011595
0.03125,0.0011415
0.031333,0.0012871
0.031417,0.0013444
0.0315,0.0013207
0.031583,0.0011737
0.031667,0.00091888
0.03175,0.00075193
0.031833,0.00094257
0.031917,0.0013005
0.032,0.0015199
0.032083,0.0018002
0.032167,0.0022281
0.03225,0.0024842
0.032333,0.0025482
0.032417,0.0027171
0.0325,0.0027472
0.032583,0.0026267
0.032667,0.0026381
0.03275,0.0026902
0.032833,0.0029621
0.032917,0.0032743
0.033,0.0034197
0.033083,0.003543
0.033167,0.0037243
0.03325,0.004018
0.033333,0.004186
0.033417,0.0043723
0.0335,0.0044701
0.033583,0.0043156
0.033667,0.0042629
0.03375,0.0042043
0.033833,0.0042568
0.033917,0.0045288
0.034,0.0048122
0.034083,0.0050112
0.034167,0.0048722
0.03425,0.004582
0.034333,0.004567
0.034417,0.0047122
0.0345,0.004661
0.034583,0.0044107
0.034667,0.0042204
0.03475,0.0041667
0.034833,0.0041228
0.034917,0.004056
0.035,0.0041765
0.035083,0.0044178
0.035167,0.0045262
0.03525,0.0045049
0.035333,0.0043031
0.035417,0.0040991
0.0355,0.0040421
0.035583,0.0038821
0.035667,0.0036806
0.03575,0.003481
0.035833,0.0032573
0.035917,0.0030018
0.036,0.0025556
0.036083,0.0022001
0.036167,0.0018992
0.03625,0.0014188
0.036333,0.00097317
0.036417,0.00055033
0.0365,0.00021242
0.036583,-0.00016574
0.036667,-0.00056101
0.03675,-0.00084703
0.036833,-0.0013073
0.036917,-0.001478
0.037,-0.0013646
0.037083,-0.0013326
0.037167,-0.0011913
0.03725,-0.0012254
0.037333,-0.0014151
0.037417,-0.0016392
0.0375,-0.0018778
0.037583,-0.0019168
0.037667,-0.0019356
0.03775,-0.002037
0.037833,-0.0022492
0.037917,-0.0025389
0.038,-0.0026429
0.038083,-0.0027111
0.038167,-0.0030384
0.03825,-0.0034156
0.038333,-0.0036202
0.038417,-0.0038315
0.0385,-0.0040173
0.038583,-0.0041827
0.038667,-0.004465
0.03875,-0.0045567
0.038833,-0.0046216
0.038917,-0.0047764
0.039,-0.0048118
0.039083,-0.0050101
0.039167,-0.00518
0.03925,-0.0053313
0.039333,-0.0057522
0.039417,-0.0059893
0.0395,-0.0060444
0.039583,-0.0061793
0.039667,-0.0061761
0.03975,-0.0060884
0.039833,-0.0059782
0.039917,-0.0057365
0.04,-0.0055198
0.040083,-0.0054504
0.040167,-0.0055417
0.04025,-0.005688
0.040333,-0.0058653
0.040417,-0.0061794
0.0405,-0.0063603
0.040583,-0.0064068
0.040667,-0.006573
0.04075,-0.0067861
0.040833,-0.0071364
0.040917,-0.0075077
0.041,-0.0075707
0.041083,-0.007439
0.041167,-0.00731
0.04125,-0.0070748
0.041333,-0.0067823
0.041417,-0.0067582
0.0415,-0.0068524
0.041583,-0.0069184
0.041667,-0.007088
0.04175,-0.0072117
0.041833,-0.0071793
0.041917,-0.0070533
0.042,-0.006918
0.042083,-0.0067353
0.042167,-0.0064655
0.04225,-0.0060916
0.042333,-0.0056325
0.042417,-0.0052926
0.0425,-0.004998
0.042583,-0.0046694
0.042667,-0.0045404
0.04275,-0.0045308
0.042833,-0.0044419
0.042917,-0.0042866
0.043,-0.0041624
0.043083,-0.0043278
0.043167,-0.0045254
0.04325,-0.0044156
0.043333,-0.0045051
0.043417,-0.0048323
0.0435,-0.0050434
0.043583,-0.0052617
0.043667,-0.005403
0.04375,-0.0052493
0.043833,-0.0048489
0.043917,-0.0044537
0.044,-0.0041167
0.044083,-0.0037608
0.044167,-0.0035467
0.04425,-0.0034756
0.044333,-0.0033402
0.044417,-0.0031334
0.0445,-0.0028306
0.044583,-0.0024169
0.044667,-0.002154
0.04475,-0.0019132
0.044833,-0.0015475
0.044917,-0.001405
0.045,-0.0015146
0.045083,-0.0015884
0.045167,-0.0015304
0.04525,-0.0013892
0.045333,-0.0011837
0.045417,-0.00088478
0.0455,-0.00045834
0.045583,-7.56E-05
0.045667,0.00021836
0.04575,0.00051881
0.045833,0.00077542
0.045917,0.0010321
0.046,0.0011251
0.046083,0.0010487
0.046167,0.00098178
0.04625,0.00089551
0.046333,0.0010698
0.046417,0.001414
0.0465,0.0014937
0.046583,0.0015243
0.046667,0.0016112
0.04675,0.0015041
0.046833,0.0013492
0.046917,0.0013594
0.047,0.0014078
0.047083,0.001525
0.047167,0.0018184
0.04725,0.0020826
0.047333,0.0021553
0.047417,0.0020773
0.0475,0.0018649
0.047583,0.0014718
0.047667,0.0011138
0.04775,0.0010434
0.047833,0.0012206
0.047917,0.0014556
0.048,0.0016763
0.048083,0.0020242
0.048167,0.002253
0.04825,0.0022412
0.048333,0.0021861
0.048417,0.0019114
0.0485,0.0015052
0.048583,0.0012601
0.048667,0.0011777
0.04875,0.0010761
0.048833,0.00097385
0.048917,0.0011597
0.049,0.0013969
0.049083,0.0013885
0.049167,0.0013519
0.04925,0.001207
0.049333,0.00073914
0.049417,0.00015831
0.0495,-0.00037229
0.049583,-0.00085367
0.049667,-0.0011399
0.04975,-0.0012419
0.049833,-0.0014348
0.049917,-0.00164
0.05,-0.0016798
0.050083,-0.0018138
0.050167,-0.0020998
0.05025,-0.002561
0.050333,-0.0031788
0.050417,-0.0034562
0.0505,-0.0033923
0.050583,-0.0032953
0.050667,-0.003011
0.05075,-0.0025257
0.050833,-0.0023181
0.050917,-0.0023426
0.051,-0.0020048
0.051083,-0.0015866
0.051167,-0.0014455
0.05125,-0.0013678
0.051333,-0.0013833
0.051417,-0.0013441
0.0515,-0.0011818
0.051583,-0.0011918
0.051667,-0.001242
0.05175,-0.0012057
0.051833,-0.0011707
0.051917,-0.0011318
0.052,-0.0011629
0.052083,-0.0010133
0.052167,-0.00071624
0.05225,-0.00056415
0.052333,-0.00043855
0.052417,-0.00037681
0.0525,-0.00014468
0.052583,0.00036116
0.052667,0.0008104
0.05275,0.0011026
0.052833,0.0013168
0.052917,0.0018749
0.053,0.0024839
0.053083,0.0025103
0.053167,0.0024759
0.05325,0.0026837
0.053333,0.0027392
0.053417,0.0028121
0.0535,0.0031995
0.053583,0.0034539
0.053667,0.003271
0.05375,0.0030561
0.053833,0.0032299
0.053917,0.0036925
0.054,0.0038776
0.054083,0.0037668
0.054167,0.0037822
0.05425,0.0038518
0.054333,0.0038736
0.054417,0.003793
0.0545,0.0037108
0.054583,0.0039275
0.054667,0.0041902
0.05475,0.0043553
0.054833,0.0045904
0.054917,0.0047917
0.055,0.0050501
0.055083,0.0052625
0.055167,0.0052984
0.05525,0.0054554
0.055333,0.0055458
0.055417,0.005494
0.0555,0.0054348
0.055583,0.0051778
0.055667,0.004887
0.05575,0.0044981
0.055833,0.0038943
0.055917,0.0033638
0.056,0.0029452
0.056083,0.002632
0.056167,0.0023066
0.05625,0.0018356
0.056333,0.0013636
0.056417,0.001375
0.0565,0.0017977
0.056583,0.0015638
0.056667,0.00090035
0.05675,0.00080921
0.056833,0.0010291
0.056917,0.0010569
0.057,0.0011442
0.057083,0.0016038
0.057167,0.0021558
0.05725,0.0028162
0.057333,0.0037155
0.057417,0.0044584
0.0575,0.0048331
0.057583,0.0050551
0.057667,0.005469
0.05775,0.0060688
0.057833,0.0064665
0.057917,0.0066874
0.058,0.0072656
0.058083,0.0078563
0.058167,0.0079133
0.05825,0.0080121
0.058333,0.0081715
0.058417,0.0078876
0.0585,0.0074619
0.058583,0.0073764
0.058667,0.007523
0.05875,0.007241
0.058833,0.0067021
0.058917,0.0065225
0.059,0.0062817
0.059083,0.0057898
0.059167,0.0052592
0.05925,0.0048771
0.059333,0.0046953
0.059417,0.0042568
0.0595,0.0039166
0.059583,0.0039214
0.059667,0.0038802
0.05975,0.0038462
0.059833,0.0038888
0.059917,0.0042156
0.06,0.0044294
0.060083,0.0043553
0.060167,0.0045811
0.06025,0.0047629
0.060333,0.0046663
0.060417,0.0044704
0.0605,0.0043005
0.060583,0.0043677
0.060667,0.004418
0.06075,0.0044075
0.060833,0.004367
0.060917,0.0042067
0.061,0.0040784
0.061083,0.0038918
0.061167,0.0037561
0.06125,0.003623
0.061333,0.0031457
0.061417,0.0026698
0.0615,0.0023853
0.061583,0.0020817
0.061667,0.0016393
0.06175,0.0010275
0.061833,0.00044812
0.061917,-0.00021249
0.062,-0.00098694
0.062083,-0.0016036
0.062167,-0.0021656
0.06225,-0.0028641
0.062333,-0.003546
0.062417,-0.0039865
0.0625,-0.0045442
0.062583,-0.0053216
0.062667,-0.0058199
0.06275,-0.0062532
0.062833,-0.0068649
0.062917,-0.0073435
0.063,-0.0074535
0.063083,-0.0072833
0.063167,-0.0072747
0.06325,-0.0073506
0.063333,-0.0072186
0.063417,-0.0070534
0.0635,-0.0069341
0.063583,-0.0066232
0.063667,-0.0058265
0.06375,-0.0050568
0.063833,-0.0048043
0.063917,-0.0044819
0.064,-0.0039852
0.064083,-0.0037703
0.064167,-0.0038496
0.06425,-0.0040907
0.064333,-0.0043189
0.064417,-0.0044937
0.0645,-0.0048625
0.064583,-0.0053649
0.064667,-0.0056936
0.06475,-0.0060385
0.064833,-0.0064872
0.064917,-0.0068685
0.065,-0.0073761
0.065083,-0.0080885
