t [s],p [Pa]
0,0.07723
8.33E-05,0.07752
0.00016667,0.076446
0.00025,0.07438
0.00033333,0.071988
0.00041667,0.069347
0.0005,0.066017
0.00058333,0.061895
0.00066667,0.057864
0.00075,0.053783
0.00083333,0.049448
0.00091667,0.044818
0.001,0.039083
0.0010833,0.032965
0.0011667,0.026677
0.00125,0.019781
0.0013333,0.012914
0.0014167,0.0056528
0.0015,-0.0016783
0.0015833,-0.0081789
0.0016667,-0.014279
0.00175,-0.020219
0.0018333,-0.026023
0.0019167,-0.031559
0.002,-0.037049
0.0020833,-0.042616
0.0021667,-0.048072
0.00225,-0.053603
0.0023333,-0.058291
0.0024167,-0.061753
0.0025,-0.064955
0.0025833,-0.067875
0.0026667,-0.069996
0.00275,-0.071454
0.0028333,-0.072272
0.0029167,-0.072412
0.003,-0.072859
0.0030833,-0.073468
0.0031667,-0.073124
0.00325,-0.072309
0.0033333,-0.071357
0.0034167,-0.069551
0.0035,-0.06651
0.0035833,-0.062463
0.0036667,-0.057599
0.00375,-0.052904
0.0038333,-0.049181
0.0039167,-0.04495
0.004,-0.039995
0.0040833,-0.035327
0.0041667,-0.030313
0.00425,-0.024732
0.0043333,-0.018761
0.0044167,-0.012058
0.0045,-0.0046329
0.0045833,0.0026645
0.0046667,0.0095905
0.00475,0.016829
0.0048333,0.023709
0.0049167,0.029648
0.005,0.034958
0.0050833,0.039891
0.0051667,0.04537
0.00525,0.051288
0.0053333,0.056357
0.0054167,0.060548
0.0055,0.064764
0.0055833,0.068931
0.0056667,0.072118
0.00575,0.074231
0.0058333,0.075515
0.0059167,0.075919
0.006,0.075921
0.0060833,0.075832
0.0061667,0.07543
0.00625,0.074709
0.0063333,0.073886
0.0064167,0.072742
0.0065,0.070894
0.0065833,0.06799
0.0066667,0.063903
0.00675,0.05954
0.0068333,0.054873
0.0069167,0.049285
0.007,0.043259
0.0070833,0.037156
0.0071667,0.031284
0.00725,0.025728
0.0073333,0.020141
0.0074167,0.014113
0.0075,0.0082777
0.0075833,0.0027541
0.0076667,-0.0039019
0.00775,-0.010634
0.0078333,-0.016733
0.0079167,-0.023115
0.008,-0.028877
0.0080833,-0.034413
0.0081667,-0.040269
0.00825,-0.045348
0.0083333,-0.049591
0.0084167,-0.053358
0.0085,-0.056557
0.0085833,-0.059443
0.0086667,-0.062496
0.00875,-0.06513
0.0088333,-0.067077
0.0089167,-0.06917
0.009,-0.07098
0.0090833,-0.071636
0.0091667,-0.071578
0.00925,-0.071368
0.0093333,-0.070332
0.0094167,-0.068347
0.0095,-0.066043
0.0095833,-0.062793
0.0096667,-0.059056
0.00975,-0.055677
0.0098333,-0.051775
0.0099167,-0.047408
0.01,-0.043053
0.010083,-0.038206
0.010167,-0.032788
0.01025,-0.027013
0.010333,-0.020689
0.010417,-0.013825
0.0105,-0.0072332
0.010583,-0.0010771
0.010667,0.0059157
0.01075,0.013213
0.010833,0.019703
0.010917,0.026188
0.011,0.03253
0.011083,0.038727
0.011167,0.045305
0.01125,0.051393
0.011333,0.056584
0.011417,0.061602
0.0115,0.06658
0.011583,0.070724
0.011667,0.074064
0.01175,0.076775
0.011833,0.078639
0.011917,0.080471
0.012,0.082371
0.012083,0.083398
0.012167,0.083628
0.01225,0.083845
0.012333,0.083924
0.012417,0.083247
0.0125,0.081683
0.012583,0.078755
0.012667,0.07486
0.01275,0.070905
0.012833,0.066258
0.012917,0.060837
0.013,0.055722
0.013083,0.050919
0.013167,0.045503
0.01325,0.039545
