Time [s],Pressure [Pa]
0,0.014757
0.001,0.076767
0.002,0.044203
0.003,-0.044837
0.004,-0.08439
0.005,-0.051002
0.006,-0.012376
0.007,-0.0073144
0.008,0.0012019
0.009,0.033165
0.01,0.044442
0.011,0.0019769
0.012,-0.041612
0.013,-0.023299
0.014,0.029143
0.015,0.040234
0.016,0.0068682
0.017,-0.0046743
0.018,0.024002
0.019,0.035393
0.02,-0.006114
0.021,-0.048987
0.022,-0.032571
0.023,0.021713
0.024,0.045813
0.025,0.017203
0.026,-0.022727
0.027,-0.032459
0.028,-0.016104
0.029,-0.0037999
0.03,-0.0087886
0.031,-0.023365
0.032,-0.023613
0.033,-0.00058568
0.034,0.0213
0.035,0.0089399
0.036,-0.030245
0.037,-0.046014
0.038,-0.011121
0.039,0.036027
0.04,0.039511
0.041,0.0014785
0.042,-0.028108
0.043,-0.026907
0.044,-0.017496
0.045,-0.0221
0.046,-0.026808
0.047,-0.010847
0.048,0.021822
0.049,0.045092
0.05,0.039535
0.051,0.012283
0.052,-0.015014
0.053,-0.02658
0.054,-0.02597
0.055,-0.025095
0.056,-0.028922
0.057,-0.026226
0.058,-0.010689
0.059,0.0074866
0.06,0.013617
0.061,0.0045108
0.062,-0.0083841
0.063,-0.010851
0.064,0.003676
0.065,0.01584
0.066,0.0021403
0.067,-0.029661
0.068,-0.043579
0.069,-0.018473
0.07,0.010712
0.071,0.0096533
0.072,-0.0015872
0.073,0.018411
0.074,0.042185
0.075,0.0079688
0.076,-0.065702
0.077,-0.084287
0.078,-0.022024
0.079,0.034344
0.08,0.020443
0.081,-0.0032187
0.082,0.032649
0.083,0.078353
0.084,0.049426
0.085,-0.024767
0.086,-0.04194
0.087,0.0072018
0.088,0.034332
0.089,-0.00019318
0.09,-0.033114
0.091,-0.020179
0.092,-0.0007112
0.093,-0.011427
0.094,-0.020833
0.095,0.0074996
0.096,0.04401
0.097,0.044271
0.098,0.019086
0.099,0.0070874
0.1,0.018446
0.101,0.032114
0.102,0.038668
0.103,0.031173
0.104,0.0030776
0.105,-0.030231
0.106,-0.029953
0.107,0.011991
0.108,0.047997
0.109,0.031948
0.11,-0.010799
0.111,-0.019639
0.112,0.017318
0.113,0.048943
0.114,0.032892
0.115,-0.0078031
0.116,-0.025595
0.117,-0.012371
0.118,-0.0077739
0.119,-0.028287
0.12,-0.032758
0.121,0.012765
0.122,0.067022
0.123,0.060021
0.124,0.0080638
0.125,-0.0059825
0.126,0.03865
0.127,0.056336
0.128,-0.0069909
0.129,-0.070642
0.13,-0.042314
0.131,0.028701
0.132,0.035565
0.133,-0.019452
0.134,-0.043202
0.135,-0.017756
0.136,-0.011177
0.137,-0.038869
0.138,-0.039591
0.139,-0.0033898
0.14,-0.0031728
0.141,-0.053016
0.142,-0.065455
