Time [s],P [Pa]
0,0.043777
8.33E-05,-0.048962
0.00016667,-0.070344
0.00025,0.010582
0.00033333,0.07875
0.00041667,0.037331
0.0005,-0.055715
0.00058333,-0.069054
0.00066667,0.017035
0.00075,0.078942
0.00083333,0.028517
0.00091667,-0.063215
0.001,-0.067069
0.0010833,0.022194
0.0011667,0.076488
0.00125,0.019215
0.0013333,-0.068647
0.0014167,-0.063095
0.0015,0.027771
0.0015833,0.074299
0.0016667,0.011733
0.00175,-0.07162
0.0018333,-0.058274
0.0019167,0.032415
0.002,0.071136
0.0020833,0.0036162
0.0021667,-0.075846
0.00225,-0.054283
0.0023333,0.038019
0.0024167,0.068991
0.0025,-0.0044257
0.0025833,-0.079597
0.0026667,-0.049939
0.00275,0.043275
0.0028333,0.067637
0.0029167,-0.010115
0.003,-0.080965
0.0030833,-0.044379
0.0031667,0.048343
0.00325,0.065988
0.0033333,-0.015189
0.0034167,-0.081539
0.0035,-0.03896
0.0035833,0.052029
0.0036667,0.063258
0.00375,-0.019697
0.0038333,-0.081694
0.0039167,-0.034266
0.004,0.055571
0.0040833,0.060552
0.0041667,-0.024686
0.00425,-0.080995
0.0043333,-0.028368
0.0044167,0.058912
0.0045,0.058165
0.0045833,-0.028244
0.0046667,-0.078796
0.00475,-0.020199
0.0048333,0.064077
0.0049167,0.054751
0.005,-0.033581
0.0050833,-0.076922
0.0051667,-0.013486
0.00525,0.065741
0.0053333,0.049856
0.0054167,-0.03671
0.0055,-0.072978
0.0055833,-0.0068536
0.0056667,0.067273
0.00575,0.045344
0.0058333,-0.039819
0.0059167,-0.069446
0.006,-0.0016936
0.0060833,0.067042
0.0061667,0.040875
0.00625,-0.042017
0.0063333,-0.065662
0.0064167,0.0044268
0.0065,0.069684
0.0065833,0.039773
0.0066667,-0.042571
0.00675,-0.062075
0.0068333,0.010005
0.0069167,0.071322
0.007,0.036183
0.0070833,-0.045763
0.0071667,-0.059501
0.00725,0.015898
0.0073333,0.073354
0.0074167,0.032569
0.0075,-0.048566
0.0075833,-0.055797
0.0076667,0.02207
0.00775,0.07372
0.0078333,0.026802
0.0079167,-0.052127
0.008,-0.051915
0.0080833,0.026911
0.0081667,0.071271
0.00825,0.019782
0.0083333,-0.055267
0.0084167,-0.04863
0.0085,0.03097
0.0085833,0.070323
0.0086667,0.014393
0.00875,-0.058934
0.0088333,-0.04537
0.0089167,0.037713
0.009,0.072255
0.0090833,0.009316
0.0091667,-0.063268
0.00925,-0.041575
0.0093333,0.045157
0.0094167,0.073609
0.0095,0.0029385
0.0095833,-0.068621
0.0096667,-0.038541
0.00975,0.051343
0.0098333,0.07283
0.0099167,-0.0051243
0.01,-0.073407
0.010083,-0.033687
0.010167,0.056943
0.01025,0.068818
0.010333,-0.014435
0.010417,-0.076911
0.0105,-0.028893
0.010583,0.061502
0.010667,0.06484
0.01075,-0.023347
0.010833,-0.079527
0.010917,-0.022699
0.011,0.066181
0.011083,0.059821
0.011167,-0.032581
0.01125,-0.08098
0.011333,-0.015401
0.011417,0.070711
0.0115,0.054873
0.011583,-0.041029
0.011667,-0.08214
0.01175,-0.0083654
0.011833,0.074806
0.011917,0.049449
0.012,-0.048912
0.012083,-0.08197
0.012167,-0.0018825
0.01225,0.076231
0.012333,0.042192
