R [m]	PL [20Hz]	PL [63Hz]	PL [200 Hz]	PL [20Hz]	PL [63Hz]	PL [200 Hz]
10000	-44.7	-44.70223587	-42.97703776	-43.28322637	-42.75308115	-42.74915043
11000	-45.2	-45.13671156	-43.4135519	-43.70477215	-43.16761492	-43.1632913
12000	-45.6	-45.53497297	-43.81393946	-44.08876688	-43.54610739	-43.54139091
14000	-46.2	-46.24482837	-44.52815615	-44.76744687	-44.21678883	-44.21128679
15000	-46.5	-46.56450452	-44.85003567	-45.07068906	-44.51702774	-44.511133
17000	-47.1	-47.14789875	-45.43785379	-45.62028263	-45.06181754	-45.05513756
18000	-47.4	-47.41591265	-45.70808429	-45.87112126	-45.31065988	-45.30358735
20000	-47.8	-47.91278758	-46.2093975	-46.33340198	-45.76944761	-45.76159014
21000	-48.1	-48.14420383	-46.44303459	-46.54747695	-45.98194692	-45.97369706
23000	-48.5	-48.57808492	-46.88135931	-46.94671224	-46.37824479	-46.36921031
24000	-48.7	-48.78219236	-47.08768904	-47.13354708	-46.56368499	-46.55425827
27000	-49.2	-49.35104549	-47.6632082	-47.65089967	-47.07702828	-47.06642516
28000	-49.4	-49.52793492	-47.84231863	-47.81074703	-47.23557685	-47.2245817
30000	-49.7	-49.86521957	-48.18404252	-48.11415472	-47.53642071	-47.52464165
31000	-49.8	-50.02633053	-48.34737129	-48.25843447	-47.67943082	-47.66725989
33000	-50.1	-50.33502908	-48.66050086	-48.53369052	-47.95216454	-47.93921002
34000	-50.3	-50.48314927	-48.81083385	-48.66520052	-48.08241986	-48.06907361
37000	-50.6	-50.90532345	-49.23963326	-49.03799058	-48.4514642	-48.43694309
38000	-50.8	-51.03930395	-49.37581717	-49.15565837	-48.56788823	-48.5529756
40000	-51.0	-51.29816372	-49.6390751	-49.38211449	-48.7918626	-48.7761671
41000	-51.1	-51.42333728	-49.76644306	-49.49119655	-48.89970638	-48.88361952
44000	-51.5	-51.78338337	-50.13305154	-49.80340541	-49.20820959	-49.19094895
45000	-51.6	-51.8986202	-50.25046832	-49.902841	-49.30641284	-49.28876106
47000	-51.8	-52.12253184	-50.4787276	-50.09536462	-49.49647588	-49.47804193
48000	-51.9	-52.23138623	-50.58974935	-50.18863141	-49.58851437	-49.56968943
51000	-52.1	-52.54650838	-50.91134587	-50.45741164	-49.85361752	-49.83361988
52000	-52.2	-52.64797603	-51.01496189	-50.5435709	-49.93855366	-49.91816523
55000	-52.5	-52.94255835	-51.315958	-50.79263917	-50.18396016	-50.16239965
59000	-52.8	-53.31447408	-51.69634708	-51.10481369	-50.49126993	-50.46814737
60000	-52.9	-53.40405288	-51.78802932	-51.17962313	-50.56486631	-50.54135336
62000	-53.1	-53.57942983	-51.96759435	-51.32565771	-50.70847849	-50.68418494
63000	-53.2	-53.66530535	-52.05555428	-51.39695946	-50.7785709	-50.75388712
66000	-53.4	-53.91610729	-52.31256939	-51.60442497	-50.98241583	-50.95656167
67000	-53.5	-53.99754237	-52.39606179	-51.67154161	-51.04832807	-51.02208388
70000	-53.7	-54.23577049	-52.64041912	-51.86719013	-51.2403708	-51.21295685
71000	-53.7	-54.31324559	-52.71992268	-51.93059602	-51.30257722	-51.27477345
73000	-53.9	-54.46544714	-52.87615859	-52.0548429	-51.42442882	-51.39584556
74000	-53.9	-54.54022089	-52.95293805	-52.11573046	-51.48412056	-51.45514765
77000	-54.1	-54.75949861	-53.17818587	-52.29370973	-51.65851972	-51.62837811
78000	-54.2	-54.83097856	-53.25163986	-52.35154236	-51.71516141	-51.68463034
80000	-54.3	-54.97163481	-53.3962197	-52.46508009	-51.8263209	-51.79501107
81000	-54.4	-55.04084709	-53.46738134	-52.52082046	-51.88087395	-51.84917482
84000	-54.6	-55.24422292	-53.67655458	-52.68412565	-52.04062447	-52.00775773
85000	-54.6	-55.31064729	-53.74489427	-52.73730703	-52.09262336	-52.05936752
87000	-54.7	-55.44153396	-53.87958541	-52.84187648	-52.19483144	-52.16079756
88000	-54.8	-55.50602427	-53.94596473	-52.89329187	-52.24506796	-52.21064513
91000	-55.0	-55.69584157	-54.14139531	-53.04421515	-52.39246175	-52.35687239
92000	-55.0	-55.75793765	-54.20534436	-53.09345569	-52.44052818	-52.40455008
95000	-55.2	-55.94086035	-54.39377077	-53.23813453	-52.58169184	-52.54454783
96000	-55.2	-56.00074928	-54.45547567	-53.28538201	-52.62776996	-52.59023741
98000	-55.3	-56.11896145	-54.57729158	-53.3784691	-52.71852188	-52.68021242
99000	-55.4	-56.17730439	-54.63742217	-53.42432776	-52.76321474	-52.72451689
102000	-55.5	-56.34939266	-54.81481602	-53.55927253	-52.89466913	-52.85480645
103000	-55.6	-56.40580483	-54.87297742	-53.60340558	-52.93764109	-52.89739023
105000	-55.7	-56.51725392	-54.98789581	-53.69044769	-53.0223645	-52.98133744
106000	-55.7	-56.5723069	-55.04466877	-53.73337219	-53.0641314	-53.02271632
110000	-55.9	-56.78821911	-55.26736228	-53.90126348	-53.22740399	-53.18443733
114000	-56.1	-56.99759061	-55.48335574	-54.06338869	-53.38492908	-53.34041166
115000	-56.2	-57.04896106	-55.53635659	-54.10306643	-53.42345968	-53.3785547
117000	-56.2	-57.15057815	-55.64120415	-54.1814387	-53.49954113	-53.45386118
118000	-56.3	-57.20083647	-55.69306253	-54.22014437	-53.53710312	-53.49103576
121000	-56.4	-57.34947784	-55.84644304	-54.3344034	-53.64793798	-53.6007087
122000	-56.5	-57.39833165	-55.89685619	-54.37188739	-53.68428287	-53.6366664
124000	-56.5	-57.49503019	-55.99664272	-54.44598111	-53.75610183	-53.70771109
125000	-56.6	-57.5428848	-56.04602598	-54.48260018	-53.79158522	-53.74280744
128000	-56.7	-57.68452692	-56.19219245	-54.59079993	-53.89638477	-53.84644614
129000	-56.8	-57.73111558	-56.24026868	-54.62632835	-53.93078205	-53.88045658
131000	-56.8	-57.82338109	-56.33547849	-54.69660264	-53.99879748	-53.94769847
132000	-56.9	-57.86906637	-56.38262048	-54.73135644	-54.03242353	-53.98093783
135000	-57.0	-58.00438098	-56.52224345	-54.83413001	-54.13182064	-54.07917517
136000	-57.0	-58.04891845	-56.56819644	-54.86790411	-54.1644715	-54.11143954
139000	-57.2	-58.18088104	-56.70434385	-54.96782406	-54.26102844	-54.20683733
140000	-57.2	-58.22433058	-56.74916776	-55.0006744	-54.29276001	-54.23818263
142000	-57.3	-58.31044346	-56.83799854	-55.06570994	-54.35556137	-54.30021157
143000	-57.3	-58.35311346	-56.8820121	-55.09790134	-54.38663734	-54.33090141
